Nombre;Contacto;Concejo;Zona;Direccion;Telefono;Email;Web;MasInformacion;Descargas;Archivo;ArchivoTitulo;RedesSociales;Facebook;Twitter;Youtube;GooglePlus;Pinterest;Instagram;Rss;OtrosCanales;NombreCanal;CanalUrl;Informacion;Titulo;Texto;Horario;Tarifas;FechaDeConstruccion;Observaciones;Geolocalizacion;Coordenadas;Visualizador;Slide;SlideTitulo;SlideUrl
Valle de Turón (Socavón de La Rebaldana, Pozu Espinos y Polvorín de Fortuna);;Mieres;Centro de Asturias;33 610. La Rabaldana, Presimir ? Santandrés y Fortuna;985 422 185;info@pozuespinos.com;www.territoriomuseo.com;;;;;;https://www.facebook.com/equipamientos.turisticosdemieres;;;;;;;;;;;El valle de Turón permite descubrir en esta visita guiada conjunta el paisaje y la realidad de la minería de la cuenca central a través de una antigua explotación de montaña de fines del s. XIX, la única torre de extracción conservada en el país anterior a la guerra civil y un polvorín de gran tamaño en un entorno de gran calidad ambiental y vertebrados los recursos por una vía verde;En el valle de Turón, área de explotación minera desde la década de 1860 hasta comienzos del presente siglo, se encuentra un número excepcional de vestigios vinculados a la actividad extractiva en una zona de gran interés ambiental. La visita guiada arranca de las inmediaciones del pozo Santa Bárbara, primero de los españoles en recibir la protección como Bien de Interés Cultural, y recurre a la antigua trinchera del ferrocarril de vía estrecha de la empresa hegemónica en el valle (Hulleras del Turón, filial de Altos Hornos de Vizcaya) para mostrarnos y acceder al socavón de La Rebaldana (fines del s. XIX, recuperado por la Asociación Cultural y Minera Sanata  Bárbara), el Pozu Espinos (accesible la torre de extracción, lampistería y mirador de la escombrera) y alcanzar el espectacular polvorín de 1966 de Fortuna, en las inmediaciones de la fosa común de trágico recuerdo. Es una experiencia que permite comprender de manera directa el paisaje generado por esta actividad económica, toda una lección de historia y técnica plasmadas en vestigios de gran valor patrimonial, que tienen el aliento de lo auténtico y vivido.  ;Es necesaria reserva previa, incluso en el horario de apertura regular al público y para visitas individuales, para garantizar una adecuada atención. Septiembre a junio: Sábado: 10:30-13:30 y 16:30-18:30 h Domingo y festivos: 11:00-13:30 h Julio, agosto y Semana Santa: Miércoles a domingo: 11:00-14:30 y 16:00-18:30 h Cerrado del 10/01 a  15/02 (ambos inclusive) y  24, 25 y 31 de diciembre, 1 y 6 de enero y el 1 de mayo;Visita guiada al Socavón, Espinos y Fortuna: Grupos (4 a 19 pax): 8,5 ?/persona Grupos + 20 pax: 7,5 ?/persona Visita conjunta a Bustiello y El Valle de Turón (en una misma jornada): Grupos (4 a 19 pax): 12 ?/persona Grupos + 20 pax: 10 ?/persona;;;;43.213858,-5.718616;;/documents/11022/4827218/Socav%C3%B3n+La+Rebaldana+%284%29.jpg/bbaf62ef-2de0-461b-9fbd-24ed6a618477?t=1582199342851,/documents/11022/4827218/Pozu+Espinos+%282%29.jpg/34ae12df-d99a-4b80-ab00-e305bd34e623?t=1582199325623,/documents/11022/4827218/Centro+Pozo+Fortuna+%283%29.jpg/b3b9aee2-383e-4111-8d51-7780d45f8de6?t=1582199309081,/documents/11022/4827218/Pozu+Espinos+%281%29.jpg/41f33664-0d2c-4366-a36f-f338d9bfd3e6?t=1582199325117;Socavón de La Rebaldana. Foto cedida por: www.territoriomuseo.com,Pozu Espinos. Foto cedida por: www.territoriomuseo.com,Pozo Fortuna. Foto cedida por: www.territoriomuseo.com,Pozo Fortuna. Foto cedida por: www.territoriomuseo.com;,,,
Centro de Arte Rupestre de Tito Bustillo;;Ribadesella;Oriente de Asturias;Avda. Tito Bustillo. 33560. Ribadesella/Ribeseya;985 861 255 (centro) / 902 306 600 / 985 185 860 (central de reservas);info@centrotitobustillo.com;www.centrotitobustillo.com;http://www.centrotitobustillo.com/es/1/el-centro/57/normas-higinico-sanitarias-covid-19.html;;;;;https://www.facebook.com/CARTitoBustillo;http://twitter.com/CARTitoBustillo;http://www.youtube.com/user/centrotitobustillo;;;;;;;;;Centro de divulgación de la Cueva de Tito Bustillo;La Cueva de Tito Bustillo, descubierta en 1968, es uno de los conjuntos rupestres más importantes del Arte Paleolítico. En julio de 2008 fue declarada, junto a otras cuevas del Cantábrico, Patrimonio de la Humanidad por sus extraordinarias representaciones. La necesidad de mantener su equilibrio ambiental para la conservación y la dificultad de acceso a la mayoría de los conjuntos artísticos, motivaron la creación del Centro de Arte de Tito Bustillo. Lugares tan emblemáticos como el espectacular Camarín de las Vulvas, la Galería de los Caballos y el misterioso Antropomorfo, además del imprescindible Panel de los Policromos, tienen ahora un marco singular donde poder ser contemplados. A lo largo del recorrido por la exposición permanente, los visitantes podrán conocer cuándo se produjo el descubrimiento de la cueva, su valor geológico, quiénes la habitaron y cómo son las muestras de arte rupestre que conserva en su interior.;Febrero, noviembre y diciembre:  Miércoles a viernes:  10:00 a 14:30 h ininterrumpidamente  Sábados, domingos y festivos: 10:30 a 18:00 h ininterrumpidamente Cerrado: lunes, martes, 24, 25 y 31 de diciembre Abierto 6 y 7 de diciembre Marzo a octubre (temporada de Cueva): Miércoles a viernes:   9:45 a 17:30 h ininterrumpidamente Sábados, domingos y festivos:  9:45 a 18:30 h ininterrumpidamente Cerrado: lunes y martes Abierto 11 y 12 de octubre     Julio y agosto:   Miércoles a domingo:  09:45 a 19:00 h ininterrumpidamente Cerrado: Lunes, martes, 7 y 8 de agosto La Cueva de Tito Bustillo abre del 3 de marzo al 31 de octubre    ;Tarifas:  General: 5,45 ? Reducida: 3,29 ? (grupos +20 pax, niños 4 a 11 años, mayores de 65, familias numerosas, carnet internacional de estudiante o carnet joven y personas con diversidad funcional acreditados) 0 a 3 años y grupos de enseñanza (previa reserva con una antelación mínima de una semana): GRATUITO Talleres didácticos: 2,50 ?. Día de acceso gratuito: MIÉRCOLES. Otros descuentos consultar.;;Aforo reducido, se recomienda compra de entradas online. No se realizan visitas guiadas ni actividades didácticas presenciales. La visita será individual o familiar, no estando permitida la visita en grupo.;;43.458082,-5.067242;;/documents/11022/79547/MuseoTitoBustillo1.JPG/e7de1175-e2da-44a9-bf01-6e22ef4f518f?t=1389299972938,/documents/11022/79547/MuseoTitoBustillo2.jpg?t=1389300037978,/documents/11022/79547/MuseoTitoBustillo3.jpg/8534ca10-2f59-4a6b-a151-f0d2e0b8b1d6?t=1389303716455,;Centro de Arte Rupestre Tito Bustillo,Centro de Arte Rupestre Tito Bustillo,Centro de Arte Rupestre Tito Bustillo,Centro de Arte Rupestre Tito Bustillo;,,,https://www.youtube.com/watch?v=OzAYc6FVPk8
Museo de Las Anclas;;Castrillón;Centro de Asturias;La Colonia, S/N. 33408, Salinas (Castrillón);985 502 163;;http://www.museodeanclas.es/;;;;;;;;;;;;;;;;;Un paseo para fondear en uno de los iconos más representativos de la cultura marina.;El Museo de Anclas Philippe Cousteau se eleva en forma de atalaya en la península de La Peñona, un promontorio de la naturaleza rodeado de mar, en uno de los extremos de la playa de Salinas, localidad situada en el concejo de Castrillón. Es una creación original para rendir un homenaje de continuado amor a la mar, a sus gentes y a toda la cultura que representa. Entre las exposiciones permanentes se encuentran: Cubierta de velas y anclas Sobre una plataforma de 90 metros de larga, 6 metros de ancha y 2 metros de altura, se elevan seis velas construidas en chapa de acero. De las velas surgen las cadenas de las anclas que reposan sobre la cubierta. Busto de Philippe Cousteau Sobre una roca batida por el mar, la Peña Lisa, se alza el gran busto en bronce de Philippe Cousteau, símbolo de una vida dedicada al mar y cuyos valores humanos y científicos marcaron el rumbo de muchas generaciones. Gran Mural Un mural cerámico de grandes dimensiones, pero respetando el entorno, sirve de iniciación al museo, integrándose en la plaza que sirve de acceso. Templo de los Océanos En el centro de la curva que dibuja la cubierta de velas y anclas, se erige sobre la tierra una rosa de los vientos donde instalar el recipiente o concha donde se vierten las aguas de los distintos océanos. Un mirador en forma de cuenco esférico, situado en el punto más saliente de La Peñona y en voladizo sobre el mar, completa el espacio para el ceremonial. El Museo está concebido como un conjunto monumental al aire libre integrado por: Cubierta de velas y anclas Busto de bronce de Philippe Cousteau Gran Mural Templo de los Océanos   Las obras artísticas se extienden en un paraje de gran belleza natural, la península de La Peñona, que en forma de atalaya se eleva en un extremo de la hermosa playa de Salinas, uno de los más señalados núcleos urbanos del concejo de Castrillón en el Principado de Asturias.;Visita libre;Acceso gratuito;;Declarado Centro Azul;;43.57893,-5.968305;;/documents/11022/76846/museo-anclas+%281%29.jpg/aa4e6c7c-f040-43cc-bc64-eae5486a5814?t=1581512916864,/documents/11022/76846/museo-anclas+%282%29.jpg/700d67cb-6d52-4f4e-abdb-ae758ccfff2f?t=1581512917660,/documents/11022/76846/museo-anclas+%283%29.jpg/898b466c-a6b5-4982-bbf0-63b6d748061b?t=1581512918426,/documents/11022/76846/MuseoAnclas1.jpg/863daf76-de3e-455b-9f0d-8cf88c5acc4a?t=1389302385240;Museo de las Anclas,Museo de las Anclas,Museo de las Anclas,Museo de las Anclas;,,,
Centro de Interpretación de la Cueva de la Peña;;Candamo;Occidente de Asturias;Palacio Valdés-Bazán. 33828 San Román (Candamo);985 829 702 / 985 828 056 (Ayto. Candamo);casacultura@candamo.es,turismo@ayto-candamo.es,adl@ayto-candamo.es;http://www.ayto-candamo.es;;;/documents/11022/75756/CI_Caverna_Candamo_2020.pdf/277b9c41-38f0-4512-9ad1-5961e6508526;Información sobre visitas al Centro de Interpretación y a la Cueva de la Peña;;;;;;;;;;;;;La mejor interpretación del arte rupestre;Tras varios años de forzoso cierre de la Cueva de la Peña para permitir la recuperación de las pinturas prehistóricas, hoy puede ser visitada por un pequeño número de personas durante un corto espacio de tiempo al año, de tal manera que la demanda supera la escasa oferta de visitas. Por ello, el Centro de Interpretación contribuye a paliar muchos de esos deseos que no pueden ser satisfechos. El centro muestra, mediante representaciones volumétricas a escala, los principales conjuntos de pinturas y grabados paleolíticos existentes en la Cueva de la Peña y está destinado a una mejor comprensión, conocimiento y difusión del arte paleolítico asturiano y en concreto de la Cueva de la Peña. El palacio Valdés-Bazán es una casona nobiliaria, construida a principios del siglo XVII, en la localidad de San Román. Cuenta con diversos espacios dedicados a las actividades desarrolladas en el concejo, tales como: biblioteca pública, sala de conferencias, aulas de informática y salas polivalentes (talleres de artesanía, etc.). Asimismo acoge una sala de exposiciones temporales y dos aulas dedicadas a la Cueva de la Peña. Dicha caverna está situada en la misma localidad de San Román. Su acceso se restringe a cupos de 25 personas al día, durante los meses de julio, agosto y primera quincena de septiembre, previa reserva en el Ayuntamiento de Candamo. La cueva conserva pinturas y grabados realizados durante los periodos Solutrense y Magdaleniense (18000-13000 A.C.);Abierto todo el año Horario: de 10:00 a 14:00 h. Cerrado: Lunes y mes de Octubre Visitas guiadas: 10:00 - 11:00 - 12:00 y 13:00 h.  ;Individual: 2 ? Niños (hasta 16): 1 ? Grupo adultos (+15): 1,50 ? Grupo niños (+15): 0,60 ? Miércoles entrada gratuita;;;;43.450294,-6.073628;;/documents/11022/75756/CI_cueva_candamo.jpg/1d29243e-c7fb-46d7-883c-a5d82b9cc7b5?t=1583743470917,/documents/11022/75756/CavernaCandamo4.jpg/08fe67b0-9123-4168-b965-ba84b251819c?t=1389301890196,/documents/11022/75756/CavernaCandamo1.jpg/a44be93e-e1e8-46cf-bf6d-c7ee50ae601a?t=1389301875789,/documents/11022/75756/CavernaCandamo3.jpg/37e20f1b-6313-4138-8820-67d52b736c70?t=1389301884477;Centro de Interpretación de la Cueva de la Peña,Centro de Interpretación de la Cueva de la Peña,Centro de Interpretación de la Cueva de la Peña,Centro de Interpretación de la Cueva de la Peña;,,,
Aula Didáctica del Oro;;Belmonte de Miranda;Occidente de Asturias;Avda. del Parque, s/n. 33830 Belmonte;985 762 311 (Oficina de Turismo) / 985 762 160 (Ayuntamiento);info@belmontedemiranda.com;www.belmontedemiranda.es;;;;;;;;;;;;;;;;;Un espacio para descubrir una actividad relacionada con uno de los metales nobles más arraigados en Asturias: el oro.;El auge actual de la minería del oro en Asturias ha revitalizado el interés del público por una actividad que, aunque olvidada, cuenta con una historia milenaria en la región. En Belmonte con relación a este tema se ha creado un aula didáctica que está compuesta de paneles, una maqueta de la explotación romana del oro de las Medulas (León) y varias exposiciones de minerales. Partiendo desde la época prehistórica, el visitante podrá realizar un recorrido por las distintas explotaciones mineras de metales y la trascendencia que tuvo para la población.;Cerrada temporalmente  ;;;;;43.282892,-6.218049;;/documents/11022/75524/Aula-del-Oro--Belmonte-de-Miranda.jpg/bc380e42-c73f-48be-9696-4c5803854fa5?t=1627294522843,/documents/11022/75524/Aula-del-Oro2.jpg/3cfae8b5-9fec-4481-ad5a-660f94dcfedb?t=1627541660806,/documents/11022/75524/Aula-del-Oro3.jpg/1e8948dd-8aa9-4db5-9268-495fa18e6621?t=1627541672349,/documents/11022/75524/Aula-del-Oro4.jpg/1ef94792-2dbb-4c67-82e4-4a7839939aae?t=1627541682134;Exterior del Aula del Oro en Belmonte de Miranda,Exterior del Aula del Oro en Belmonte de Miranda,Exterior del Aula del Oro en Belmonte de Miranda,Exterior del Aula del Oro en Belmonte de Miranda;,,,
Museo de Covadonga;;Cangas de Onís;Oriente de Asturias;Edificio de la Escolanía. 33589, Cuadonga/Covadonga (Cangas de Onís);985 846 096;;www.realsitiodecovadonga.com;http://www.realsitiodecovadonga.com;;;;;;;;;;;;;;;;El Museo de Covadonga, un espacio con obras de gran valor histórico;En este Museo los visitantes podrán ver y conocer la historia de este histórico Santuario desde la legendaria batalla con la que dio comienzo la Reconquista, iniciada por Don Pelayo (Fundador de la Monarquía), así como también las distintas transformaciones que ha sufrido a lo largo de su historia. De enorme valor son la corona de la Virgen de Covadonga y el Niño, creadas por el joyero ovetense Félix Granda Buylla en 1918, año de la coronación canónica de la Virgen. Están fabricadas con platino, oro, diamantes, rubíes, zafiros, rosas de Francia, brillantes y perlas. Estas piezas solo se utilizan en día de Covadonga, el 8 de septiembre. De estilo Manierista es el Cristo de marfil del Siglo XVI, perteneció a San francisco de Paula, y posteriormente al rey Felipe II, que lo donó al Santuario de Covadonga. En el museo de Covadonga también se encuentran las reproducciones de los dibujos, que realizó para el proyecto de la Basílica, el arquitecto Ventura Rodríguez. Del Pintor Madrazo se expone un impresionante cuadro del Rey Pelayo. Además numerosísimas obras de orfebrería y ropa litúrgica, como el pectoral de San Melchor de Quirós y el manto y vestido de seda blanca bordado, donados a la Virgen de Covadonga por la Reina Isabel II.;Semana Santa a 12/10: 10:30 - 14:00 horas 16:00 - 19:00 horas 13/10 a Semana Santa: 10:30 - 14:00 horas 16:00 - 18:30 horas Días de cierre: 01/01 a 15/02: martes. 01/11 a 30/11: lunes.;Individual: 2,5 ? Niños: 1 ? Grupo (+25): 1,5 ?;;;;43.308567,-5.054506;;/documents/11022/82629/MuseoCovadonga1.jpg?t=1389301492211,/documents/11022/82629/MuseoCovadonga2.jpg?t=1389301507476,/documents/11022/82629/MuseoCovadonga3.jpg?t=1389301527941,/documents/11022/82629/MuseoCovadonga4.jpg?t=1389301544811;,,,;,,,
Petroglifos de la Xorenga;;Grandas de Salime;Occidente de Asturias;Nogueiróu y Llandecarballo. Grandas de Salime;;;;;;;;;;;;;;;;;;;;El significado de estos trazos es desconocido.;La estación rupestre de La Xorenga compone el más amplio conjunto de grabados localizados en Asturias. Se trata de un conjunto de cazoletas y antropomorfos grabados en una serie de afloramientos intermitentes de pizarra, disponiéndose los distintos agrupamientos petroglíficos a lo largo de unos 500 metros aproximadamente. Fundamentalmente son tres conjuntos situados sobre otros tantos crestones los que agrupan la casi totalidad de los grabados. Conjunto 1. Situado en el cruce del camino de Gestoselo a Llandecarballo con el que viene de Padraira. Sobre él se han reconocido, al menos, cincuenta y tres cazoletas, varios canalillos y tres antropomorfos. Conjunto 2. Situado al inicio del camino hacia Llandecarballo que surge de la pista de Nogueirou. Las más de cincuenta cazoletas contabilizadas se distribuyen por toda su superficie, comunicadas en muchos de los casos por numerosos canalillos. Además, hay que destacar la existencia de cuatro antropomorfos, tres de ellos muy bien conservados, el otro de más difícil identificación. Conjunto 3. Sobre la roca se disponen un conjunto de al menos cuarenta cazoletas, canalillos y un antropomorfo.;;;Edad del Bronce;;;43.185113,-6.911057;;/documents/11022/75308/ASuG5510_Grandas_La_Xorenga_1.jpg/034e4bbe-1299-4ee6-92ec-f7fe9b7ee5ed?t=1612338648729,/documents/11022/75308/ASuG5500_Grandas_La_Xorenga_2.jpg/eb269960-4e9c-4c5d-8658-9a29febaf3c0?t=1612338670933,/documents/11022/75308/009481.jpg/2c85ef96-78dc-4321-bbbb-c6534fec4934?t=1612339051359,/documents/11022/75308/ASuG5500_Grandas_La_Xorenga_21.jpg/2cc0eb10-7cbd-403d-847e-5a3fc1e38d71?t=1612338659985;Petroglifos de la Xorenga,Petroglifos de la Xorenga,Petroglifos de la Xorenga,Petroglifos de la Xorenga;,,,
Centro de Recepción e Interpretación del Parque Natural de Ponga;;Ponga;Oriente de Asturias;San Juan de Beleño;985 843 113;ponga@taxusmedioambiente.com;http://www.parquenaturaldeponga.es/;;;;;;https://www.facebook.com/Centro-de-Interpretaci%C3%B3n-de-Parque-Natural-de-Ponga-1388451108061013/?ref=br_rs;;;;;;;;;;;En las dependencias del Centro, el visitante puede disfrutar de la exposición, recabar información y documentación sobre las rutas de senderismo, planos y normativa del Parque;El Centro de Recepción e Interpretación del Parque Natural de Ponga dispone una exposición permanente centrada en los valores del bosque como ecosistema. ofrece a los visitantes un interesante recorrido en el que podemos observar diversos aspectos de la vida del concejo: Apuntes sobre el pasado y presente Pongueto Naturaleza Fauna Pueblo Construcciones Sus Gentes Tradiciones Gastronomía Artesanía... El contenido es muy variado y se presenta de forma ilustrativa y entretenida. El visitante también puede informarse de todas las rutas y miradores que ofrece el Parque Natural de Ponga.  ;Temporada alta (01/06 a 30/09): Lunes a sábado: 10:00 a 14:00 y 16:00 a 19:00 h. Domingo: 10:00 a 14:00 y 16:00 a 18:00 h. Temporada baja (01/10 a 31/05): Martes a sábado: 10:00 a 14:00 y 16:00 a 18:00 h. Domingo: 10:00 a 14:00 h Cerrado: Lunes;Entrada gratuita;;;;43.187897,-5.164205;;/documents/11022/3696868/Centro+de+Interpretaci%C3%B3n+del+Parque+Natural+de++Ponga+%281%29.jpg/7ba6afc0-8585-420e-a50d-2e73345a4d55?t=1542883252336,/documents/11022/3696868/Centro+de+Interpretaci%C3%B3n+del+Parque+Natural+de++Ponga+%285%29.jpg/40a55c1b-c690-44c6-8b1c-167bb5012d29?t=1542883258427,/documents/11022/3696868/Centro+de+Interpretaci%C3%B3n+del+Parque+Natural+de++Ponga+%284%29.jpg/0cedecce-8e31-4681-b180-706fb9cdc4b7?t=1542883257152,/documents/11022/3696868/Centro+de+Interpretaci%C3%B3n+del+Parque+Natural+de++Ponga+%283%29.jpg/a09c54f8-4ab5-42e3-95e0-72bf4a532255?t=1542883255747;Centro de Recepción e Interpretación del Parque Natural de Ponga,Centro de Recepción e Interpretación del Parque Natural de Ponga,Centro de Recepción e Interpretación del Parque Natural de Ponga,Centro de Recepción e Interpretación del Parque Natural de Ponga;,,,
Palacio de Mon;;San Martín de Oscos;Occidente de Asturias;Mon. 33777 Samartín;697 279 690 / 985 626 000 (Ayuntamiento);turismo@sanmartindeoscos.es;;http://www.sanmartindeoscos.es;;;;;;;;;;;;;;;;Este legendario palacio fue construido en varias fases a lo largo del siglo XVIII.;Palacio de estilo barroco asturiano con influencia gallega. Es de planta irregular, estructurado en torno a un patio central. La fachada principal, orientada al sur, presenta un cuerpo central, de menor altura, entre dos torres de planta cuadrada. La torre de la derecha, orientada al SE., está construida a base de mampuesto y constituye el núcleo originario del palacio, posiblemente del siglo XVI, mientras que el resto del edificio, levantado a finales del siglo XVII o XVIII, fue construido con sillares. La parte más significativa es el cuerpo central, donde se encuentra la entrada principal flanqueada por ventanas adinteladas. En el piso superior se colocan balcones en voladizo con balaustradas de hierro forjado y tres grandes escudos de armas, el escudo central, de mayor tamaño, representa el blasón de los Mon. Las cubiertas son de pizarra, como es habitual en la zona, a dos y a cuatro vertientes.;;;Barroco;El Puente de mayo hay visitas guiadas al Palacio a las 12:00 h. Es imprescindible concertar las visitas: 985 626 123 o turismo@sanmartindeoscos.es.;;43.269675, -6.915208;;/documents/11022/78468/PalaciodeMon1.jpg/f7985b9e-2675-414c-bf61-1e3fa4ed90a3?t=1396362096267,/documents/11022/78468/PalaciodeMon2..jpg/8b861055-dd73-4c42-8279-c5bf506619a2?t=1396362096479,/documents/11022/78468/PalaciodeMon3.jpg/7d125656-9093-4b73-a7fc-3fb0e0998cbd?t=1396362096689,/documents/11022/78468/PalaciodeMon4.jpg/9f2e90f0-7774-436d-92c0-4755e36b9b85?t=1396362096054;Palacio de Mon entrada principal,Palacio de Mon fachada de los Escudos,Palacio de Mon parte posterior,Palacio de Mon escudo;,,,
Castro de Mohías;;Coaña;Occidente de Asturias;Mouguías/Mohías. Coaña;;;http://www.parquehistorico.org;;;;;;;;;;;;;;;;;El castro de Mohías ostenta la condición de Bien de Interés Cultural desde 2014;El castro fue dado a conocer en 1940 por Antonio García y Bellido y Juan Uría no obstante, su excavación no se inició hasta 1968 cuando Jesús Martínez Fernandez, en colaboración inicial con Juan Manuel Junceda Avello, luego en solitario realizó varias campañas arqueológicas de las que se obtuvo, entre otros datos, la primera datación mediante carbono 14 en un castro asturiano y sus resultados fueron publicados en sucesivos artículos y libros. A partir de 1971 tomarían el relevo en trabajos ocasionales y sin continuidad los investigadores Emilio Olávarri, Francisco Jordá con Javier González-Tablas y Elías Carrocera. Desde 1989 no se realizan trabajos de excavación. El poblado se extiende sobre una amplia meseta recortada hacia el norte y oeste por el arroyo de Jarrio. Hacia el sur, su flanco más vulnerable, el poblado fue protegido por varias líneas de fosos, profundas trincheras talladas en la roca de cuyas dimensiones originales da cuenta el sondeo abierto en uno de ellos, y son fácilmente distinguibles por el visitante en el itinerario de paso hacia el recinto interior. Una muralla perimetral completaba la fortificación del castro. Las excavaciones han puesto al descubierto unas 20 construcciones dentro del recinto fortificado entre las cuales se pueden diferencia edificios de tradición local, característicos de la Edad del Hierro (plantas de traza curvilínea) junto a otros adaptados a patrones de construcción propios de época romana (cabañas con planta de paredes rectas y varias estancias separadas por tabiques interiores). En conjunto, los edificios se disponen con un trazado adaptado al cinturón de las defensas. En su interior fueron descubiertos hogares, morteros fabricados sobre bloques de granito similares a los conocidos en Coaña y abundante material cerámico que prueba la ocupación del castro durante los siglos inmediatamente anteriores y posteriores al cambio de era. La cerámica indígena de las excavaciones de Jesús Martínez así parece indicarlo. Su ocupación se prolongó durante los siglos I-II d.C. sin que existan evidencias solventes de su ocupación en tiempos altomedievales.    ;;Visita libre  ;Siglo I y Siglo II;Carretera local de Xarrio a Ortigueira (600 m. desde el Hospital). Desvío sobre pista hacia el campo de fútbol local (400 m.);;43.549508,-6.747044;;/documents/11022/75024/CastroMohias1.jpg?t=1389298013587;;
