,Nombre,Direccion,Coordenadas,latitud,longitud
0,Restaurante DSTAgE,"Calle Regueros, 8 28004 Madrid","{'type': 'Point', 'coordinates': [-3.6963316, 40.4245942]}",40.4245942,-3.6963316
1,Restaurante Lasarte,"Calle Mallorca, 259. 08008 Barcelona","{'type': 'Point', 'coordinates': [2.1863173, 41.4936096]}",41.4936096,2.1863173
2,Restaurante Kabuki Wellington,"Calle Velázquez, 6. 28001 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.7798725, 40.3363102]}",40.3363102,-3.7798725
3,Restaurante Paco Roncero,"Calle Alcalá, 15 28014 Madrid","{'type': 'Point', 'coordinates': [-3.3019204, 40.298463]}",40.298463,-3.3019204
4,Restaurante Ramón Freixa,"Calle Claudio Coello, 67. 28001 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-4.1466444, 40.5938943]}",40.5938943,-4.1466444
5,Restaurante Quique Dacosta,"Carrer Rascassa, 1","{'type': 'Point', 'coordinates': [4.8851566, 44.0419216]}",44.0419216,4.8851566
6,Restaurante Ricard Camarena Restaurant,"Avenida de Burjassot, 54 46009 Valencia","{'type': 'Point', 'coordinates': [-0.3852453, 39.4852529]}",39.4852529,-0.3852453
7,Restaurante El Celler de Can Roca,"Carrer de Can Sunyer, 48, 17007 Girona, España","{'type': 'Point', 'coordinates': [2.8077671336, 41.99340125]}",41.99340125,2.8077671336
8,Restaurante Akelarre,"Paseo Padre Orkolaga, 56. 20008 San Sebastián (Gipuzkoa)","{'type': 'Point', 'coordinates': [-2.0431538, 43.3077826]}",43.3077826,-2.0431538
9,Restaurante Arzak,"Avenida Alcalde José Elosegui, 273  (San Sebastián)","{'type': 'Point', 'coordinates': [-1.9530597, 43.321489]}",43.321489,-1.9530597
10,Restaurante Mugaritz,"Aldura Gunea Aldea, 20, 20100 Errenteria, Gipuzkoa, España","{'type': 'Point', 'coordinates': [-1.8976476, 43.2699797]}",43.2699797,-1.8976476
